0.2	0.3	0.4	0.5	0.6	0.7	0.8	score
0.9026548672566371	0.957983193277311	0.9600000000000002	0.9523809523809523	0.9160305343511449	0.9523809523809523	0.9230769230769229	F1 Score
0.9026548672566371	0.9747899159663864	0.9836065573770493	0.9600000000000002	0.9230769230769229	0.9448818897637795	0.9375	F1 Score
0.9026548672566371	0.9747899159663864	0.9836065573770493	0.9677419354838711	0.9302325581395348	0.9523809523809523	0.9375	F1 Score
0.9026548672566371	0.9747899159663864	0.9756097560975611	0.9677419354838711	0.9375	0.9523809523809523	0.9302325581395348	F1 Score
0.9026548672566371	0.9747899159663864	0.9836065573770493	0.9677419354838711	0.9375	0.9523809523809523	0.9302325581395348	F1 Score
0.9026548672566371	0.9747899159663864	0.9917355371900827	0.9756097560975611	0.9448818897637795	0.9600000000000002	0.9302325581395348	F1 Score
0.9189189189189189	0.9661016949152541	0.9833333333333334	0.9756097560975611	0.9523809523809523	0.9600000000000002	0.9302325581395348	F1 Score
0.9622641509433962	0.9661016949152542	0.9230769230769231	0.9090909090909091	0.8450704225352113	0.9090909090909091	0.8571428571428571	Precision
0.9622641509433962	0.9830508474576272	0.967741935483871	0.9230769230769231	0.8571428571428571	0.8955223880597015	0.8823529411764706	Precision
0.9622641509433962	0.9830508474576272	0.967741935483871	0.9375	0.8695652173913043	0.9090909090909091	0.8823529411764706	Precision
0.9622641509433962	0.9830508474576272	0.9523809523809523	0.9375	0.8823529411764706	0.9090909090909091	0.8695652173913043	Precision
0.9622641509433962	0.9830508474576272	0.967741935483871	0.9375	0.8823529411764706	0.9090909090909091	0.8695652173913043	Precision
0.9622641509433962	0.9830508474576272	0.9836065573770492	0.9523809523809523	0.8955223880597015	0.9230769230769231	0.8695652173913043	Precision
1	0.9827586206896551	0.9833333333333333	0.9523809523809523	0.9090909090909091	0.9230769230769231	0.8695652173913043	Precision
0.85	0.95	1	1	1	1	1	Recall
0.85	0.9666666666666667	1	1	1	1	1	Recall
0.85	0.9666666666666667	1	1	1	1	1	Recall
0.85	0.9666666666666667	1	1	1	1	1	Recall
0.85	0.9666666666666667	1	1	1	1	1	Recall
0.85	0.9666666666666667	1	1	1	1	1	Recall
0.85	0.95	0.9833333333333333	1	1	1	1	Recall
0.03333333333333333	0.03333333333333333	0.08333333333333333	0.1	0.18333333333333332	0.1	0.16666666666666666	False Positive Rate
0.03333333333333333	0.016666666666666666	0.03333333333333333	0.08333333333333333	0.16666666666666666	0.11666666666666667	0.13333333333333333	False Positive Rate
0.03333333333333333	0.016666666666666666	0.03333333333333333	0.06666666666666667	0.15	0.1	0.13333333333333333	False Positive Rate
0.03333333333333333	0.016666666666666666	0.05	0.06666666666666667	0.13333333333333333	0.1	0.15	False Positive Rate
0.03333333333333333	0.016666666666666666	0.03333333333333333	0.06666666666666667	0.13333333333333333	0.1	0.15	False Positive Rate
0.03333333333333333	0.016666666666666666	0.016666666666666666	0.05	0.11666666666666667	0.08333333333333333	0.15	False Positive Rate
0	0.016666666666666666	0.016666666666666666	0.05	0.1	0.08333333333333333	0.15	False Positive Rate
